POS	lemma	word
NN	image	image
NN	ipam	IPAM
NN	logo	logo
NNS	program	Programs
JJ	long	Long
NNS	program	Programs
NNS	workshop	Workshops
JJ	public	Public
VBZ	lecture	Lectures
JJ	special	Special
NNS	event	Events
CC	and	and
NNS	conference	Conferences
NN	student	Student
NN	research	Research
NNS	program	Programs
NN	summer	Summer
NNS	school	Schools
VBP	propose	Propose
DT	a	a
NN	program	program
NNS	video	Videos
NN	news	News
NN	news	News
NN	research	Research
NNS	article	Articles
NNS	report	Reports
NNS	interview	Interviews
NN	press	Press
VBZ	release	Releases
NN	ipam	IPAM
NN	newsletter	Newsletter
NNS	people	People
VBG	build	Building
NN	directory	Directory
NNS	director	Directors
NN	staff	Staff
NNP	Science	Science
NNP	Advisory	Advisory
NNP	Board	Board
NNP	Board	Board
IN	of	of
NNS	trustee	Trustees
PRP$	you	Your
NN	visit	Visit
NN	child	Child
NN	care	Care
NNS	direction	Directions
NNS	hotel	Hotels
NN	housing	Housing
NNS	resource	Resources
NNS	policy	Policies
JJ	resident	Resident
NNS	s	s
NNP	Guide	Guide
NNP	Technology	Technology
NNP	Transportation	Transportation
IN	about	About
NNP	IPAM	IPAM
NN	today	Today
IN	at	at
NNP	IPAM	IPAM
NNP	Green	Green
NN	family	Family
VBP	lecture	Lecture
NN	series	Series
IN	about	About
NNP	UCLA	UCLA
NN	diversity	Diversity
NN	nsf	NSF
NNS	grant	Grants
VBP	donate	Donate
NNS	frontier	Frontiers
NN	society	Society
JJ	corporate	Corporate
VBG	give	Giving
VB	donate	Donate
RB	now	Now
VB	contact	Contact
PRP	we	Us
NN	image	image
NN	ipam	IPAM
NN	logo	logo
NNS	program	Programs
JJ	long	Long
NNS	program	Programs
NNS	workshop	Workshops
JJ	public	Public
VBZ	lecture	Lectures
JJ	special	Special
NNS	event	Events
CC	and	and
NNS	conference	Conferences
NN	student	Student
NN	research	Research
NNS	program	Programs
NN	summer	Summer
NNS	school	Schools
VBP	propose	Propose
DT	a	a
NN	program	program
NNS	video	Videos
NN	news	News
NN	news	News
NN	research	Research
NNS	article	Articles
NNS	report	Reports
NNS	interview	Interviews
NN	press	Press
VBZ	release	Releases
NN	ipam	IPAM
NN	newsletter	Newsletter
NNS	people	People
VBG	build	Building
NN	directory	Directory
NNS	director	Directors
NN	staff	Staff
NNP	Science	Science
NNP	Advisory	Advisory
NNP	Board	Board
NNP	Board	Board
IN	of	of
NNS	trustee	Trustees
PRP$	you	Your
NN	visit	Visit
NN	child	Child
NN	care	Care
NNS	direction	Directions
NNS	hotel	Hotels
NN	housing	Housing
NNS	resource	Resources
NNS	policy	Policies
JJ	resident	Resident
NNS	s	s
NNP	Guide	Guide
NNP	Technology	Technology
NNP	Transportation	Transportation
IN	about	About
NNP	IPAM	IPAM
NN	today	Today
IN	at	at
NNP	IPAM	IPAM
NNP	Green	Green
NN	family	Family
VBP	lecture	Lecture
NN	series	Series
IN	about	About
NNP	UCLA	UCLA
NN	diversity	Diversity
NN	nsf	NSF
NNS	grant	Grants
VBP	donate	Donate
NNS	frontier	Frontiers
NN	society	Society
JJ	corporate	Corporate
VBG	give	Giving
VB	donate	Donate
RB	now	Now
VB	contact	Contact
PRP	we	Us
RB	long	Long
NNS	program	Programs
NNS	program	Programs
NN	gt	gt
JJ	long	Long
NNS	program	Programs
NN	gt	gt
NN	culture	Culture
NNS	analytic	Analytics
NN	culture	Culture
NNS	analytic	Analytics
NNP	March	March
CD	7	7
NNP	June	June
CD	10	10
CD	2016	2016
NN	overview	Overview
NN	participant	Participant
NN	list	List
NN	seminar	Seminar
NN	series	Series
NNS	activity	Activities
NN	overview	Overview
NN	participant	Participant
NN	list	List
NN	seminar	Seminar
NN	series	Series
NNS	activity	Activities
NN	overview	Overview
NN	image	image
NN	ca2016	CA2016
NN	poster	Poster
JJ	graphic	Graphic
DT	the	The
NN	explosion	explosion
IN	in	in
DT	the	the
JJ	widespread	widespread
NN	use	use
IN	of	of
DT	the	the
NN	internet	Internet
CC	and	and
JJ	social	social
NNS	media	media
CC	and	and
DT	the	the
NN	ubiquity	ubiquity
IN	of	of
JJ	low	low
NN	cost	cost
NN	computing	computing
VBP	have	have
VBN	increase	increased
DT	the	the
NNS	possibility	possibilities
IN	for	for
VBG	understand	understanding
JJ	cultural	cultural
NNS	behavior	behaviors
CC	and	and
NNS	expression	expressions
IN	while	while
IN	at	at
DT	the	the
JJ	same	same
NN	time	time
VBP	have	have
VBN	facilitate	facilitated
NNS	opportunity	opportunities
IN	for	for
VBG	make	making
JJ	cultural	cultural
NNS	artifact	artifacts
CC	both	both
JJ	accessible	accessible
CC	and	and
JJ	comprehensible	comprehensible
DT	the	The
RB	rapidly	rapidly
VBG	proliferate	proliferating
NNP	digital	digital
NNS	footprint	footprints
WDT	that	that
NNS	people	people
VBP	leave	leave
IN	as	as
PRP	they	they
VBP	crisscross	crisscross
DT	these	these
JJ	virtual	virtual
NNS	space	spaces
VBP	offer	offer
DT	a	a
NN	treasure	treasure
NN	trove	trove
IN	of	of
JJ	cultural	cultural
NN	information	information
WRB	where	where
NN	culture	culture
VBZ	be	is
VBN	consider	considered
TO	to	to
VB	be	be
JJ	expressive	expressive
IN	of	of
DT	the	the
NNS	norm	norms
NNS	belief	beliefs
CC	and	and
NNS	value	values
IN	of	of
DT	a	a
NN	group	group
DT	this	This
NN	program	program
VBZ	encourage	encourages
DT	the	the
NN	exploration	exploration
IN	of	of
DT	the	the
NNP	unsolved	unsolved
JJ	mathematical	mathematical
NNS	opportunity	opportunities
WDT	that	that
VBP	be	are
VBG	emerge	emerging
IN	in	in
DT	this	this
JJ	cultural	cultural
NN	information	information
NN	space	space
JJ	many	Many
JJ	successful	successful
NNS	approach	approaches
TO	to	to
DT	the	the
NN	analysis	analysis
IN	of	of
JJ	cultural	cultural
NN	content	content
CC	and	and
NNS	activity	activities
VBP	have	have
VBN	be	been
VBN	develop	developed
RB	yet	yet
EX	there	there
VBZ	be	is
RB	still	still
DT	a	a
JJ	great	great
NN	deal	deal
IN	of	of
NN	work	work
TO	to	to
VB	be	be
VBN	do	done
IN	in	In
DT	this	this
NN	program	program
PRP	we	we
VBP	aim	aim
TO	to	to
VB	promote	promote
DT	a	a
JJ	vigorous	vigorous
NN	collaboration	collaboration
IN	across	across
NNS	discipline	disciplines
CC	and	and
VB	devise	devise
JJ	new	new
NNS	approach	approaches
CC	and	and
JJ	novel	novel
NNS	mathematics	mathematics
