POS	lemma	word
VBG	warn	Warning
DT	the	The
NNP	NCBI	NCBI
NN	web	web
NN	site	site
VBZ	require	requires
NN	javascript	JavaScript
TO	to	to
VB	function	function
JJR	more	more
NN	ncbi	NCBI
NN	image	image
NNP	NCBI	NCBI
NN	logo	Logo
VB	skip	Skip
TO	to	to
JJ	main	main
NN	content	content
VB	skip	Skip
TO	to	to
NNP	navigation	navigation
NNPS	Resources	Resources
DT	all	All
NNS	resource	Resources
NNS	chemical	Chemicals
NN	amp	amp
NNP	Bioassays	Bioassays
NNP	BioSystems	BioSystems
NNP	PubChem	PubChem
NN	bioassay	BioAssay
NN	pubchem	PubChem
NN	compound	Compound
NN	pubchem	PubChem
NN	structure	Structure
NN	search	Search
NN	pubchem	PubChem
NN	substance	Substance
DT	all	All
NNS	chemical	Chemicals
NN	amp	amp
NNP	Bioassays	Bioassays
NNP	Resources	Resources
NNP	DNA	DNA
NN	amp	amp
NN	rna	RNA
NN	blast	BLAST
JJ	basic	Basic
JJ	local	Local
NN	alignment	Alignment
NN	search	Search
NN	tool	Tool
NN	blast	BLAST
NN	stand	Stand
RB	alone	alone
NN	e	E
NNS	utility	Utilities
NNP	GenBank	GenBank
NNP	GenBank	GenBank
NNP	BankIt	BankIt
NNP	GenBank	GenBank
NNP	Sequin	Sequin
NNP	GenBank	GenBank
NN	tbl2asn	tbl2asn
NN	genome	Genome
NN	workbench	Workbench
NN	influenza	Influenza
NN	virus	Virus
NN	nucleotide	Nucleotide
NN	database	Database
NN	popset	PopSet
NN	primer	Primer
NN	blast	BLAST
JJ	prosplign	ProSplign
NN	reference	Reference
NN	sequence	Sequence
NN	refseq	RefSeq
NN	refseqgene	RefSeqGene
NN	sequence	Sequence
VBD	read	Read
NNP	Archive	Archive
NNP	SRA	SRA
NNP	Splign	Splign
NNP	Trace	Trace
NNP	Archive	Archive
NNP	UniGene	UniGene
DT	all	All
NN	dna	DNA
NN	amp	amp
NN	rna	RNA
NNS	resource	Resources
NNS	datum	Data
NN	amp	amp
NN	software	Software
NN	blast	BLAST
JJ	basic	Basic
JJ	local	Local
NN	alignment	Alignment
NN	search	Search
NN	tool	Tool
NN	blast	BLAST
NN	stand	Stand
RB	alone	alone
RB	cn3d	Cn3D
VBN	conserve	Conserved
NN	domain	Domain
NN	search	Search
NN	service	Service
NN	cd	CD
NN	search	Search
NN	e	E
NNS	utility	Utilities
NN	genbank	GenBank
NN	bankit	BankIt
NN	genbank	GenBank
NN	sequin	Sequin
NN	genbank	GenBank
NN	tbl2asn	tbl2asn
NN	genome	Genome
NN	protmap	ProtMap
NN	genome	Genome
NN	workbench	Workbench
NN	primer	Primer
NN	blast	BLAST
NN	prosplign	ProSplign
NN	pubchem	PubChem
NN	structure	Structure
NN	search	Search
NN	snp	SNP
NN	submission	Submission
NN	tool	Tool
NN	splign	Splign
NN	vector	Vector
NN	alignment	Alignment
NN	search	Search
NN	tool	Tool
JJ	vast	VAST
DT	all	All
NNS	datum	Data
NN	amp	amp
NN	software	Software
NNS	resource	Resources
NNS	domain	Domains
NN	amp	amp
NNS	structure	Structures
NNS	biosystem	BioSystems
NN	cn3d	Cn3D
VBN	conserve	Conserved
NN	domain	Domain
NN	database	Database
NN	cdd	CDD
VBN	conserve	Conserved
NN	domain	Domain
NN	search	Search
NN	service	Service
NNP	CD	CD
VB	search	Search
NN	structure	Structure
JJ	molecular	Molecular
NN	modeling	Modeling
NN	database	Database
NN	vector	Vector
NN	alignment	Alignment
NN	search	Search
NN	tool	Tool
JJ	vast	VAST
DT	all	All
NNS	domain	Domains
NN	amp	amp
NNS	structure	Structures
NNS	resource	Resources
NNS	gene	Genes
NN	amp	amp
NN	expression	Expression
NNS	biosystem	BioSystems
NN	database	Database
IN	of	of
NNS	genotype	Genotypes
CC	and	and
NNS	phenotype	Phenotypes
NN	dbgap	dbGaP
NN	e	E
NNS	utility	Utilities
NN	gene	Gene
NN	gene	Gene
NN	expression	Expression
NN	omnibus	Omnibus
NNP	GEO	GEO
NN	database	Database
NN	gene	Gene
NN	expression	Expression
NN	omnibus	Omnibus
NNP	GEO	GEO
NNPS	Datasets	Datasets
NN	gene	Gene
NN	expression	Expression
NN	omnibus	Omnibus
NNP	GEO	GEO
NNS	profile	Profiles
NN	genome	Genome
NN	workbench	Workbench
NN	homologene	HomoloGene
NN	online	Online
NN	mendelian	Mendelian
NN	inheritance	Inheritance
IN	in	in
NN	man	Man
NNP	OMIM	OMIM
NNP	RefSeqGene	RefSeqGene
NNP	UniGene	UniGene
DT	all	All
NNS	gene	Genes
NN	amp	amp
NN	expression	Expression
NNS	resource	Resources
NNS	genetics	Genetics
NN	amp	amp
NN	medicine	Medicine
NN	bookshelf	Bookshelf
NN	database	Database
IN	of	of
NNS	genotype	Genotypes
CC	and	and
NNS	phenotype	Phenotypes
JJ	dbgap	dbGaP
JJ	genetic	Genetic
NN	testing	Testing
NN	registry	Registry
NN	influenza	Influenza
NN	virus	Virus
JJ	online	Online
JJ	mendelian	Mendelian
NN	inheritance	Inheritance
IN	in	in
NN	man	Man
NN	omim	OMIM
VBD	pubm	PubMed
JJ	pubmed	PubMed
JJ	central	Central
NN	pmc	PMC
VBD	pubm	PubMed
JJ	clinical	Clinical
NNS	query	Queries
VBP	refseqgene	RefSeqGene
DT	all	All
NNS	genetics	Genetics
NN	amp	amp
NN	medicine	Medicine
NNS	resource	Resources
NNS	genome	Genomes
NN	amp	amp
VBZ	map	Maps
NN	database	Database
IN	of	of
JJ	genomic	Genomic
JJ	structural	Structural
NN	variation	Variation
NN	dbvar	dbVar
NN	genbank	GenBank
NN	tbl2asn	tbl2asn
NN	genome	Genome
NN	genome	Genome
NN	project	Project
NN	genome	Genome
NN	protmap	ProtMap
NN	genome	Genome
NN	workbench	Workbench
NN	influenza	Influenza
NN	virus	Virus
NN	nucleotide	Nucleotide
NN	database	Database
NN	popset	PopSet
NN	prosplign	ProSplign
NN	sequence	Sequence
VBD	read	Read
NNP	Archive	Archive
NNP	SRA	SRA
NNP	Splign	Splign
NNP	Trace	Trace
NNP	Archive	Archive
DT	all	All
NNS	genome	Genomes
NN	amp	amp
VBZ	map	Maps
NNS	resource	Resources
NN	homology	Homology
NN	blast	BLAST
JJ	basic	Basic
JJ	local	Local
NN	alignment	Alignment
NN	search	Search
NN	tool	Tool
NN	blast	BLAST
NN	stand	Stand
RB	alone	alone
NN	blast	BLAST
NN	link	Link
NN	blink	BLink
VBN	conserve	Conserved
NN	domain	Domain
NN	database	Database
NN	cdd	CDD
VBN	conserve	Conserved
NN	domain	Domain
NN	search	Search
NN	service	Service
NNP	CD	CD
VB	search	Search
NN	genome	Genome
NN	protmap	ProtMap
NN	homologene	HomoloGene
NN	protein	Protein
NNS	cluster	Clusters
DT	all	All
NN	homology	Homology
NNS	resource	Resources
NN	literature	Literature
NN	bookshelf	Bookshelf
NN	e	E
NNS	utility	Utilities
NNS	journal	Journals
IN	in	in
NNP	NCBI	NCBI
NNS	database	Databases
NN	mesh	MeSH
NN	database	Database
NN	ncbi	NCBI
NN	handbook	Handbook
NN	ncbi	NCBI
NN	help	Help
NN	manual	Manual
NNP	NCBI	NCBI
NNP	News	News
NN	amp	amp
NN	blog	Blog
VBD	pubm	PubMed
JJ	pubmed	PubMed
JJ	central	Central
NN	pmc	PMC
VBD	pubm	PubMed
JJ	clinical	Clinical
NNS	query	Queries
VBD	pubm	PubMed
NN	health	Health
DT	all	All
NN	literature	Literature
NNS	resource	Resources
NNS	protein	Proteins
NNS	biosystem	BioSystems
NN	blast	BLAST
JJ	basic	Basic
JJ	local	Local
NN	alignment	Alignment
NN	search	Search
NN	tool	Tool
NN	blast	BLAST
NN	stand	Stand
RB	alone	alone
NN	blast	BLAST
NN	link	Link
NN	blink	BLink
VBN	conserve	Conserved
NN	domain	Domain
NN	database	Database
NN	cdd	CDD
VBN	conserve	Conserved
NN	domain	Domain
NN	search	Search
NN	service	Service
NN	cd	CD
NN	search	Search
NN	e	E
NNS	utility	Utilities
JJ	prosplign	ProSplign
NN	protein	Protein
NNS	cluster	Clusters
NN	protein	Protein
NN	database	Database
NN	reference	Reference
NN	sequence	Sequence
NN	refseq	RefSeq
DT	all	All
NNS	protein	Proteins
NNS	resource	Resources
NN	sequence	Sequence
NN	analysis	Analysis
NN	blast	BLAST
JJ	basic	Basic
JJ	local	Local
NN	alignment	Alignment
NN	search	Search
NN	tool	Tool
NN	blast	BLAST
NN	stand	Stand
RB	alone	alone
NN	blast	BLAST
NN	link	Link
NN	blink	BLink
VBN	conserve	Conserved
NN	domain	Domain
NN	search	Search
NN	service	Service
NNP	CD	CD
VB	search	Search
NN	genome	Genome
NN	protmap	ProtMap
NN	genome	Genome
NN	workbench	Workbench
NN	influenza	Influenza
NN	virus	Virus
NN	primer	Primer
NN	blast	BLAST
JJ	prosplign	ProSplign
NN	splign	Splign
DT	all	All
NN	sequence	Sequence
NN	analysis	Analysis
NNS	resource	Resources
NN	taxonomy	Taxonomy
NN	taxonomy	Taxonomy
NN	taxonomy	Taxonomy
NN	browser	Browser
NN	taxonomy	Taxonomy
JJ	common	Common
NN	tree	Tree
DT	all	All
NN	taxonomy	Taxonomy
NNS	resource	Resources
VBG	train	Training
NN	amp	amp
NNS	tutorial	Tutorials
JJ	ncbi	NCBI
NN	education	Education
NN	page	Page
NN	ncbi	NCBI
NN	handbook	Handbook
NN	ncbi	NCBI
NN	help	Help
NN	manual	Manual
NNP	NCBI	NCBI
NNP	News	News
NN	amp	amp
NN	blog	Blog
DT	all	All
NN	training	Training
NN	amp	amp
NNS	tutorial	Tutorials
NNS	resource	Resources
NN	variation	Variation
NN	database	Database
IN	of	of
JJ	genomic	Genomic
JJ	structural	Structural
NN	variation	Variation
NN	dbvar	dbVar
NN	database	Database
IN	of	of
NNS	genotype	Genotypes
CC	and	and
NNS	phenotype	Phenotypes
NN	dbgap	dbGaP
NN	database	Database
IN	of	of
JJ	single	Single
NN	nucleotide	Nucleotide
NNS	polymorphism	Polymorphisms
VBP	dbsnp	dbSNP
NN	snp	SNP
NN	submission	Submission
NN	tool	Tool
DT	all	All
NN	variation	Variation
NNS	resource	Resources
WRB	how	How
TO	to	To
DT	all	All
WRB	how	How
TO	to	To
NNS	chemical	Chemicals
NN	amp	amp
NNS	bioassay	Bioassays
NN	dna	DNA
NN	amp	amp
NN	rna	RNA
NNS	datum	Data
NN	amp	amp
NN	software	Software
NNS	domain	Domains
NN	amp	amp
NNS	structure	Structures
NNS	gene	Genes
NN	amp	amp
NN	expression	Expression
NNS	genetics	Genetics
NN	amp	amp
NN	medicine	Medicine
NNS	genome	Genomes
NN	amp	amp
VBZ	map	Maps
NN	homology	Homology
NN	literature	Literature
NNS	protein	Proteins
NN	sequence	Sequence
NN	analysis	Analysis
NN	taxonomy	Taxonomy
NN	training	Training
NN	amp	amp
NNS	tutorial	Tutorials
NN	variation	Variation
IN	about	About
NN	ncbi	NCBI
NNS	accesskey	Accesskeys
PRP$	my	My
NN	ncbisign	NCBISign
IN	in	in
TO	to	to
VB	ncbisign	NCBISign
RP	out	Out
VBN	pubm	PubMed
PRP	we	US
JJ	national	National
NN	library	Library
IN	of	of
NNP	Medicine	Medicine
NNP	National	National
NNPS	Institutes	Institutes
IN	of	of
NNP	Health	Health
VB	search	Search
NN	databaseall	databaseAll
NNS	database	Databases
NN	assembly	Assembly
NNS	biocollection	Biocollections
JJ	bioproject	BioProject
NN	biosample	BioSample
NNS	biosystem	BioSystems
NNS	book	Books
JJ	clinvar	ClinVar
NN	clone	Clone
VBN	conserve	Conserved
NNS	domain	Domains
