POS	lemma	word
VB	skip	Skip
TO	to	to
JJ	main	main
NN	content	content
NN	return	Return
TO	to	to
DT	the	the
JJ	main	main
NN	neh	NEH
NN	site	site
NN	image	image
NNS	humanities	Humanities
NN	logo	logo
JJ	secondary	Secondary
NN	menu	Menu
RB	back	Back
VBZ	issue	Issues
NN	magazine	Magazine
NN	staff	Staff
VB	search	Search
DT	this	this
NN	site	site
NNP	YouTube	YouTube
NNP	Twitter	Twitter
NNP	Facebook	Facebook
NNP	Instagram	Instagram
NNP	Snapchat	Snapchat
NNP	NEH	NEH
NNP	Gov	Gov
NN	delivery	Delivery
JJ	main	Main
NN	menu	Menu
NN	magazine	Magazine
NN	home	Home
NNS	feature	Features
NNS	conversation	Conversations
NNS	statement	Statements
NNP	IQ	IQ
NN	executive	Executive
NN	function	Function
CD	one	One
RP	off	Off
NNP	Ednote	Ednote
PRP	you	You
VBP	be	are
RB	here	here
NNS	humanities	Humanities
RB	back	Back
NNS	issue	Issues
NNP	November	November
NNP	December	December
CD	2013	2013
NN	feature	Feature
VBG	map	Mapping
DT	the	the
NN	republic	Republic
IN	of	of
NNS	letter	Letters
IN	by	By
NNP	Meredith	Meredith
NNP	Hindley	Hindley
NNS	humanities	HUMANITIES
NNP	November	November
NNP	December	December
CD	2013	2013
NN	volume	Volume
CD	34	34
NN	number	Number
CD	6	6
VBP	click	Click
IN	on	on
NN	image	image
TO	to	to
VB	enlarge	enlarge
NN	image	image
DT	a	A
NN	depiction	depiction
IN	by	by
NNP	Achille	Achille
NNP	Devaria	Devaria
IN	of	of
NNP	Voltaire	Voltaire
VBG	greet	greeting
NNP	Ben	Ben
NNP	Franklin	Franklin
CC	and	and
PRP$	he	his
NN	nephew	nephew
DT	a	A
NN	depiction	depiction
IN	by	by
NNP	Achille	Achille
NNP	Devaria	Devaria
IN	of	of
NNP	Voltaire	Voltaire
VBG	greet	greeting
NNP	Ben	Ben
NNP	Franklin	Franklin
CC	and	and
PRP$	he	his
NN	nephew	nephew
IN	as	as
PRP	they	they
VBP	visit	visit
NNP	France	France
NNP	DeA	DeA
NNP	Picture	Picture
NNP	Library	Library
NNP	Art	Art
NNP	Resource	Resource
NNP	NY	NY
VB	click	Click
IN	on	on
NN	image	image
TO	to	to
VB	enlarge	enlarge
NN	image	image
NN	watercolor	Watercolor
NNS	portrait	portraits
IN	of	of
NNP	Voltaire	Voltaire
IN	by	by
NNP	Denon	Denon
NN	watercolor	Watercolor
NNS	portrait	portraits
IN	of	of
NNP	Voltaire	Voltaire
IN	by	by
NNP	Denon	Denon
NNP	Gianni	Gianni
NNP	Dagli	Dagli
NNP	Orti	Orti
DT	the	The
NN	art	Art
NN	archive	Archive
IN	at	at
NNP	Art	Art
NNP	Resource	Resource
NNP	NY	NY
VB	click	Click
IN	on	on
NN	image	image
TO	to	to
VB	enlarge	enlarge
NN	image	image
DT	a	An
NN	image	image
IN	of	of
NNP	Voltaire	Voltaire
NNP	s	s
NN	correspondence	correspondence
DT	a	An
NN	image	image
IN	of	of
NNP	Voltaire	Voltaire
NNP	s	s
NN	correspondence	correspondence
IN	as	as
VBN	visualize	visualized
IN	by	by
VBG	map	Mapping
DT	the	the
NN	republic	Republic
IN	of	of
NNS	letter	Letters
JJ	rplviz	RPLVIZ
NN	tool	tool
NN	courtesy	Courtesy
IN	of	of
VBG	map	Mapping
DT	the	the
NN	republic	Republic
IN	of	of
NNS	letter	Letters
IN	with	with
NNS	datum	data
VBN	provide	provided
IN	by	by
JJ	electronic	Electronic
NN	enlightenment	Enlightenment
NN	project	Project
VBP	click	Click
IN	on	on
NN	image	image
TO	to	to
VB	enlarge	enlarge
NN	image	image
NNP	Edward	Edward
NNP	Fisher	Fisher
NNP	s	s
NNP	engraving	engraving
IN	of	of
NNP	Ben	Ben
NNP	Franklin	Franklin
NNP	Edward	Edward
NNP	Fisher	Fisher
NNP	s	s
NNP	engraving	engraving
IN	of	of
NNP	Ben	Ben
NNP	Franklin	Franklin
NNP	National	National
NN	portrait	Portrait
NN	gallery	Gallery
NNP	Smithsonian	Smithsonian
NNP	Institution	Institution
NNP	Art	Art
NNP	Resource	Resource
NNP	NY	NY
NN	image	image
DT	a	A
NN	depiction	depiction
IN	by	by
NNP	Achille	Achille
NNP	Devaria	Devaria
IN	of	of
NNP	Voltaire	Voltaire
VBG	greet	greeting
NNP	Ben	Ben
NNP	Franklin	Franklin
CC	and	and
PRP$	he	his
NN	nephew	nephew
NN	image	image
NN	watercolor	Watercolor
NNS	portrait	portraits
IN	of	of
NN	voltaire	Voltaire
IN	by	by
NN	denon	Denon
NN	image	image
DT	a	An
NN	image	image
IN	of	of
NNP	Voltaire	Voltaire
NNP	s	s
NN	correspondence	correspondence
NN	image	image
NNP	Edward	Edward
NNP	Fisher	Fisher
NNP	s	s
NNP	engraving	engraving
IN	of	of
NNP	Ben	Ben
NNP	Franklin	Franklin
IN	in	In
CD	1734	1734
NNP	Voltaire	Voltaire
VBD	flee	fled
NNP	Paris	Paris
TO	to	to
DT	the	the
NN	region	region
IN	of	of
NN	champagne	Champagne
NN	trading	trading
DT	the	the
JJ	sophisticated	sophisticated
CC	and	and
JJ	malodorous	malodorous
NN	capital	capital
IN	for	for
NNS	acre	acres
IN	of	of
RB	precisely	precisely
VBN	plot	plotted
NNS	vineyard	vineyards
RB	once	Once
RB	again	again
DT	the	the
JJ	sharp	sharp
JJ	tongued	tongued
NN	philosopher	philosopher
VBD	have	had
VBN	run	run
NN	afoul	afoul
IN	of	of
JJ	french	French
NNS	censor	censors
CD	eight	Eight
NNS	year	years
RBR	earlier	earlier
PRP	he	he
NN	d	d
VBD	escape	escaped
TO	to	to
NNP	England	England
IN	after	after
DT	the	the
NNP	Duc	Duc
NNP	de	de
NNP	Rohan	Rohan
VBD	accuse	accused
PRP	he	him
IN	of	of
NN	defamation	defamation
IN	after	After
DT	a	a
CD	three	three
NN	year	year
NN	exile	exile
PRP	he	he
VBD	receive	received
NN	permission	permission
TO	to	to
VB	return	return
TO	to	to
NNP	Paris	Paris
IN	in	in
CD	1729	1729
RB	now	Now
PRP	he	he
VBD	be	was
VBG	flee	fleeing
RB	again	again
DT	this	this
NN	time	time
TO	to	to
VB	escape	escape
DT	the	the
NN	storm	storm
VBG	surround	surrounding
DT	the	the
NN	publication	publication
IN	of	of
NNP	Lettres	Lettres
NNS	philosophique	philosophiques
RB	also	also
VBN	know	known
IN	as	as
NNS	letter	Letters
VBG	concern	Concerning
DT	the	the
JJ	english	English
NN	nation	Nation
DT	the	The
JJ	epistolary	epistolary
NN	style	style
NN	book	book
VBD	catalog	cataloged
NNP	Britain	Britain
NNP	s	s
JJ	religious	religious
JJ	political	political
CC	and	and
JJ	cultural	cultural
NN	life	life
VBG	praise	praising
DT	the	the
NN	island	island
NN	nation	nation
IN	for	for
VBG	champion	championing
NN	liberty	liberty
CC	and	and
NN	trade	trade
PRP	it	It
RB	also	also
VBD	take	took
JJR	more	more
IN	than	than
DT	a	a
JJ	few	few
NNS	swipe	swipes
IN	at	at
DT	the	the
JJ	french	French
NN	nobility	nobility
DT	the	The
JJ	illicit	illicit
NN	volume	volume
WDT	which	which
VBD	have	had
RB	not	not
VBN	be	been
VBN	clear	cleared
IN	by	by
DT	the	the
NNP	royal	royal
NNP	censors	censors
VBD	be	was
VBN	burn	burned
IN	by	by
DT	the	the
NNP	royal	royal
NNP	hangman	hangman
IN	for	for
DT	all	all
IN	of	of
NNP	Paris	Paris
TO	to	to
VB	see	see
DT	a	An
NN	arrest	arrest
NN	warrant	warrant
VBD	be	was
VBN	issue	issued
WDT	which	which
IN	if	if
VBN	execute	executed
MD	would	would
VB	land	land
NNP	Voltaire	Voltaire
IN	in	in
DT	the	the
NNP	Bastille	Bastille
RB	instead	Instead
IN	of	of
VBG	rot	rotting
IN	in	in
DT	a	a
JJ	dank	dank
NN	prison	prison
NN	cell	cell
NN	voltaire	Voltaire
VBD	be	was
JJR	more	more
IN	than	than
CD	140	140
NNS	mile	miles
RB	away	away
VBG	have	having
VBN	seek	sought
NN	sanctuary	sanctuary
IN	under	under
DT	the	the
NN	roof	roof
IN	of	of
DT	the	the
NN	ch	Ch
FW	teau	teau
FW	de	de
NN	cirey	Cirey
CC	and	and
DT	the	the
NN	protection	protection
VBN	offer	offered
IN	by	by
DT	the	the
JJ	familial	familial
NNS	connection	connections
IN	of	of
DT	the	the
NNP	Marquis	Marquis
NNP	Florent	Florent
NNP	Claude	Claude
NNP	du	du
NN	ch	Ch
NN	telet	telet
IN	for	For
DT	the	the
JJ	next	next
CD	fifteen	fifteen
NNS	year	years
NNP	Voltaire	Voltaire
VBD	live	lived
IN	at	at
NNP	Cirey	Cirey
VBG	write	writing
DT	a	a
JJ	steady	steady
NN	stream	stream
IN	of	of
NNS	letter	letters
TO	to	to
VB	stay	stay
VBN	connect	connected
IN	with	with
PRP$	he	his
NNS	friend	friends
IN	in	in
NNP	Paris	Paris
CC	and	and
NNS	other	others
WP	who	who
VBD	be	were
RB	abroad	abroad
DT	those	Those
JJ	same	same
NNS	letter	letters
VBD	help	helped
VB	promote	promote
PRP$	he	his
NNS	play	plays
JJ	historical	historical
NNS	work	works
CC	and	and
NNS	essay	essays
IN	while	while
VBG	keep	keeping
PRP	he	him
NN	abreast	abreast
IN	of	of
DT	the	the
JJS	latest	latest
JJ	intellectual	intellectual
NNS	development	developments
PRP	he	He
RB	also	also
VBD	carry	carried
IN	on	on
DT	a	a
JJ	torrid	torrid
NN	affair	affair
IN	of	of
DT	the	the
NN	heart	heart
CC	and	and
NN	mind	mind
IN	with	with
NNP	Emilie	Emilie
NNP	du	du
NN	ch	Ch
NN	telet	telet
DT	the	the
NN	wife	wife
IN	of	of
DT	the	the
NNP	marquis	marquis
CC	and	and
DT	a	a
JJ	scholarly	scholarly
NN	force	force
IN	in	in
PRP$	she	her
JJ	own	own
NN	right	right
IN	while	While
IN	at	at
NNP	Cirey	Cirey
NNP	Voltaire	Voltaire
VBD	write	wrote
CC	and	and
VBD	publish	published
CD	one	one
IN	of	of
DT	the	the
RBS	most	most
JJ	remarkable	remarkable
