POS	lemma	word
NN	home	Home
IN	about	About
DT	the	the
NN	archive	Archive
VBZ	exhibit	Exhibits
NN	amp	amp
NNS	object	Objects
VB	search	Search
NN	engine	Engine
NN	bibliography	Bibliography
VBZ	nine	NINES
DT	the	The
JJ	complete	Complete
NNS	writings	Writings
CC	and	and
NNS	picture	Pictures
IN	of	of
NNP	Dante	Dante
NNP	Gabriel	Gabriel
NNP	Rossetti	Rossetti
DT	a	A
NN	hypermedia	Hypermedia
NN	archive	Archive
NN	t	T
PRP	he	HE
NNP	Rossetti	Rossetti
NNP	Archive	Archive
VBZ	facilitate	facilitates
DT	the	the
JJ	scholarly	scholarly
NN	study	study
IN	of	of
NNP	Dante	Dante
NNP	Gabriel	Gabriel
NNP	Rossetti	Rossetti
DT	the	the
NNP	painter	painter
NN	designer	designer
NN	writer	writer
CC	and	and
NN	translator	translator
WP	who	who
VBD	be	was
VBG	accord	according
TO	to	to
DT	both	both
NNP	John	John
NNP	Ruskin	Ruskin
CC	and	and
NNP	Walter	Walter
NNP	Pater	Pater
DT	the	the
RBS	most	most
JJ	important	important
CC	and	and
JJ	original	original
JJ	artistic	artistic
NN	force	force
IN	in	in
DT	the	the
JJ	second	second
NN	half	half
IN	of	of
DT	the	the
JJ	nineteenth	nineteenth
NN	century	century
IN	in	in
JJ	great	Great
NNP	Britain	Britain
IN	in	In
NNP	Whistler	Whistler
NNP	s	s
JJ	famous	famous
NN	comment	comment
PRP	he	He
VBD	be	was
DT	a	a
NN	king	king
VBN	complete	Completed
IN	in	in
CD	2008	2008
TO	to	to
DT	the	the
NN	plan	plan
VBN	lay	laid
RP	out	out
IN	in	in
CD	1993	1993
DT	the	the
NN	archive	Archive
VBZ	provide	provides
NNS	student	students
CC	and	and
NNS	scholar	scholars
IN	with	with
NN	access	access
TO	to	to
DT	all	all
IN	of	of
NNP	DGR	DGR
NNP	s	s
JJ	pictorial	pictorial
CC	and	and
JJ	textual	textual
NNS	work	works
CC	and	and
TO	to	to
DT	a	a
JJ	large	large
JJ	contextual	contextual
NN	corpus	corpus
IN	of	of
NNS	material	materials
RBS	most	most
VBN	draw	drawn
IN	from	from
DT	the	the
NN	period	period
WRB	when	when
NNP	DGR	DGR
NNP	s	s
NNP	work	work
RB	first	first
VBD	appear	appeared
CC	and	and
VBD	establish	established
PRP$	its	its
NN	reputation	reputation
RB	approximately	approximately
CD	1848	1848
CD	1920	1920
CC	but	but
DT	some	some
VBG	stretch	stretching
RB	back	back
TO	to	to
DT	the	the
JJ	14th	14th
NN	century	century
NNS	source	sources
IN	of	of
PRP$	he	his
JJ	italian	Italian
NNS	translation	translations
DT	all	All
NNS	document	documents
VBP	be	are
VBN	encode	encoded
IN	for	for
JJ	structured	structured
NN	search	search
CC	and	and
NN	analysis	analysis
DT	the	The
NNP	Rossetti	Rossetti
NNP	Archive	Archive
VBZ	aim	aims
TO	to	to
VB	include	include
JJ	high	high
NN	quality	quality
NNP	digital	digital
NNS	image	images
IN	of	of
DT	every	every
VBG	survive	surviving
NN	documentary	documentary
NN	state	state
IN	of	of
NNP	DGR	DGR
NNP	s	s
VBZ	work	works
PDT	all	all
DT	the	the
NNS	manuscript	manuscripts
NNS	proof	proofs
CC	and	and
JJ	original	original
NNS	edition	editions
RB	as	as
RB	well	well
IN	as	as
DT	the	the
NNS	drawing	drawings
NNS	painting	paintings
CC	and	and
NNS	design	designs
IN	of	of
JJ	various	various
NNS	kind	kinds
VBG	include	including
PRP$	he	his
JJ	collaborative	collaborative
JJ	photographic	photographic
CC	and	and
NN	craft	craft
VBZ	work	works
DT	these	These
JJ	primary	primary
NNS	material	materials
VBP	be	are
VBN	transact	transacted
IN	with	with
DT	a	a
JJ	substantial	substantial
NN	body	body
IN	of	of
NN	editorial	editorial
NN	commentary	commentary
NNS	note	notes
CC	and	and
VBZ	gloss	glosses
JJ	recent	Recent
NNS	addition	additions
TO	to	to
DT	the	the
NNP	Rossetti	Rossetti
NNP	Archive	Archive
VBP	be	are
VBN	discuss	discussed
RB	here	here
NN	image	image
VB	get	Get
NNP	Firefox	Firefox
NN	image	image
JJ	creative	Creative
NNP	Commons	Commons
NN	license	License
DT	the	The
JJ	complete	Complete
NNS	writings	Writings
CC	and	and
NNS	picture	Pictures
IN	of	of
NNP	Dante	Dante
NNP	Gabriel	Gabriel
NNP	Rossetti	Rossetti
VBN	edit	edited
IN	by	by
NNP	Jerome	Jerome
NNP	J	J
NNP	McGann	McGann
VBZ	be	is
RB	freely	freely
VBN	distribute	distributed
IN	by	by
NN	iath	IATH
CC	and	and
DT	the	the
NNPS	NINES	NINES
NNP	consortium	consortium
IN	under	under
DT	a	a
JJ	creative	Creative
NNP	Commons	Commons
NN	license	License
VBD	support	Supported
NN	web	web
NNS	browser	browsers
VBP	include	include
NNP	Mozilla	Mozilla
NNP	Firefox	Firefox
CC	and	and
NNP	Mac	Mac
JJ	safari	Safari
NN	o	o
NN	uommibatto	uommibatto
