POS	lemma	word
VB	skip	Skip
TO	to	to
JJ	main	main
NN	content	content
NN	image	image
NNP	European	European
NNP	Commission	Commission
NN	logo	logo
NN	image	image
DT	this	This
NN	site	site
VBZ	have	has
VBN	be	been
VBN	archive	archived
IN	on	on
CD	2015	2015
NN	01	01
NN	01	01
NN	01	01
NN	01	01
CD	15	15
NNS	licence	Licences
IN	for	for
NNP	Europe	Europe
JJ	structured	Structured
NN	stakeholder	stakeholder
NN	dialogue	dialogue
CD	2013	2013
IN	about	About
DT	this	this
NN	site	site
JJ	legal	Legal
NN	notice	notice
NN	navigation	Navigation
NN	path	path
NNP	European	European
NNP	Commission	Commission
NNS	licence	Licences
IN	for	for
NNP	Europe	Europe
NNP	Home	Home
VBG	work	Working
NNS	group	Groups
JJ	main	Main
VBG	work	working
NNS	group	groups
NN	page	page
NN	cross	Cross
NN	border	border
VBG	work	Working
NN	group	group
NN	wg1	WG1
NN	user	User
VBD	generate	Generated
NN	content	Content
VBG	work	Working
NN	group	Group
NN	wg2	WG2
NNP	Audiovisual	Audiovisual
NNP	Heritage	Heritage
NNP	Working	Working
NNP	Group	Group
NNP	WG3	WG3
NN	text	Text
CC	and	and
NNS	datum	Data
NN	mining	Mining
VBG	work	Working
NN	group	Group
NN	wg4	WG4
NNS	participant	Participants
JJ	1st	1st
JJ	plenary	Plenary
JJ	mid	Mid
NN	term	term
NN	review	review
JJ	final	Final
JJ	plenary	Plenary
NN	meeting	Meeting
NN	image	image
NNP	European	European
NNP	Commission	Commission
NN	logo	logo
NNS	licence	Licences
IN	for	for
NNP	Europe	Europe
NNP	Home	Home
VBG	work	Working
NNS	group	Groups
JJ	main	Main
VBG	work	working
NNS	group	groups
NN	page	page
NN	cross	Cross
NN	border	border
VBG	work	Working
NN	group	group
NN	wg1	WG1
NN	user	User
VBD	generate	Generated
NN	content	Content
VBG	work	Working
NN	group	Group
NN	wg2	WG2
NNP	Audiovisual	Audiovisual
NNP	Heritage	Heritage
NNP	Working	Working
NNP	Group	Group
NNP	WG3	WG3
NN	text	Text
CC	and	and
NNS	datum	Data
NN	mining	Mining
VBG	work	Working
NN	group	Group
NN	wg4	WG4
NNS	participant	Participants
JJ	1st	1st
JJ	plenary	Plenary
JJ	mid	Mid
NN	term	term
NN	review	review
JJ	final	Final
JJ	plenary	Plenary
NN	meeting	Meeting
JJS	latest	Latest
NN	content	Content
CD	13	13
CD	12	12
CD	2013	2013
NN	gt	gt
NNS	participant	Participants
PRP	you	You
MD	will	will
VB	find	find
IN	below	below
DT	the	the
NNS	list	lists
IN	of	of
DT	the	the
NNS	organisation	organisations
VBN	invite	invited
TO	to	to
VB	participate	participate
IN	in	in
DT	the	the
NN	work	work
IN	of	of
DT	the	the
CD	four	four
VBG	work	Working
NNS	group	Groups
NN	list	List
IN	of	of
NNS	participant	participants
IN	in	in
VBG	workge	workging
NN	07	07
NN	01	01
CD	2014	2014
NN	gt	gt
JJ	final	Final
JJ	plenary	Plenary
NN	meeting	Meeting
DT	the	The
NN	communication	Communication
IN	on	on
NN	content	Content
IN	in	in
DT	the	the
NNP	Digital	Digital
JJ	single	Single
NN	market	Market
CD	18	18
NNP	December	December
CD	2012	2012
VBD	announce	announced
DT	a	a
JJ	final	final
JJ	plenary	plenary
NN	meeting	meeting
TO	to	to
VB	conclude	conclude
DT	the	the
NNS	licence	Licences
IN	for	for
NNP	Europe	Europe
NNP	06	06
CD	11	11
CD	2013	2013
NN	gt	gt
NN	wg2	WG2
NNS	presentation	Presentations
JJ	6th	6th
NN	meeting	meeting
CD	25	25
NNP	October	October
NN	ola_general_forl4ewg2	OLA_general_forL4EWG2
VBZ	pdfos_ifrro_industryinitiatives	pdfOS_IFRRO_IndustryInitiatives
NN	pdfpresentationgrust	pdfPresentationGRust
NN	pdf	pdf
CD	23	23
CD	10	10
CD	2013	2013
NN	gt	gt
NN	wg4	WG4
NNS	presentation	Presentations
JJ	6th	6th
NN	meeting	meeting
CD	14	14
NNP	October	October
NN	customer	Customer
JJ	industrial	Industrial
NN	chemist	Chemist
NN	perspective	Perspective
NNS	pdfpublisher	pdfPublishers
NN	perspective	Perspective
VBZ	initiative	Initiatives
NNP	pdf	pdf
CD	13	13
NN	09	09
CD	2014	2014
NN	gt	gt
NN	wg1	WG1
NNS	presentation	Presentations
JJ	6th	6th
NN	meeting	meeting
CD	15	15
NNP	October	October
NN	content	Content
NN	map	Map
NN	pptfindanyfilm	pptFindAnyFilm
NN	ppt	ppt
NN	08	08
NN	07	07
CD	2015	2015
NN	gt	gt
NN	wg3	WG3
NNS	presentation	Presentations
JJ	6th	6th
NN	meeting	meeting
CD	20	20
NNP	September	September
NN	ace	ACE
NN	discussion	discussion
NN	document	document
NN	pdfagicoa	pdfAGICOA
NN	pdfcopyswede	pdfCopyswede
NN	pdfeblida	pdfEBLIDA
NN	pdfida	pdfIDA
NN	pdfsvt	pdfSVT
NN	pdf	pdf
IN	about	About
DT	this	this
NN	site	site
NN	image	image
NN	image	image
NN	online	Online
EX	there	there
VBP	be	are
JJ	new	new
NNS	way	ways
IN	of	of
VBG	provide	providing
VBG	create	creating
CC	and	and
VBG	distribute	distributing
NN	content	content
CC	and	and
JJ	new	new
NNS	way	ways
TO	to	to
VB	generate	generate
NN	value	value
DT	the	The
NN	emergence	emergence
IN	of	of
JJ	new	new
NN	business	business
NNS	model	models
WDT	that	that
VBP	use	use
DT	the	the
NN	internet	internet
TO	to	to
VB	deliver	deliver
NN	content	content
VBZ	represent	represents
CC	both	both
DT	a	a
NN	challenge	challenge
CC	and	and
DT	a	an
NN	opportunity	opportunity
IN	for	for
DT	the	the
JJ	creative	creative
NNS	industry	industries
NNS	author	authors
CC	and	and
NNS	artist	artists
DT	the	The
NNP	digital	digital
NN	economy	economy
VBZ	have	has
VBN	be	been
DT	a	a
JJ	major	major
NN	driver	driver
IN	of	of
NN	growth	growth
IN	in	in
DT	the	the
JJ	past	past
CD	two	two
NNS	decade	decades
CC	and	and
VBZ	be	is
VBN	expect	expected
TO	to	to
VB	grow	grow
CD	seven	seven
NNS	time	times
JJR	faster	faster
IN	than	than
JJ	overall	overall
NNP	EU	EU
NNP	GDP	GDP
IN	in	in
VBG	come	coming
NNS	year	years
DT	the	The
NN	aim	aim
IN	of	of
DT	the	the
NNP	European	European
NNP	Commission	Commission
VBZ	be	is
TO	to	to
VB	ensure	ensure
IN	that	that
NN	copyright	copyright
CC	and	and
NN	licensing	licensing
VBP	stay	stay
NN	fit	fit
IN	for	for
NN	purpose	purpose
IN	in	in
DT	this	this
JJ	new	new
NNP	digital	digital
NN	context	context
IN	as	As
VBN	announce	announced
IN	in	in
DT	the	the
NN	communication	Communication
IN	on	on
NN	content	Content
IN	in	in
DT	the	the
NNP	Digital	Digital
JJ	single	Single
NN	market	Market
CD	18	18
NNP	December	December
CD	2012	2012
NNS	licence	Licences
IN	for	for
NNP	Europe	Europe
VBZ	be	is
DT	a	an
NN	initiative	initiative
RB	jointly	jointly
VBN	lead	led
IN	by	by
NNS	commissioner	Commissioners
NNP	Michel	Michel
NNP	Barnier	Barnier
NNP	Internal	Internal
NN	market	Market
CC	and	and
NNS	service	Services
NNP	Neelie	Neelie
NNP	Kroes	Kroes
NNP	Digital	Digital
NNP	Agenda	Agenda
CC	and	and
NNP	Androulla	Androulla
NNP	Vassiliou	Vassiliou
NNP	Education	Education
NN	culture	Culture
NN	multilingualism	Multilingualism
CC	and	and
NN	youth	Youth
PRP$	its	Its
JJ	main	main
NN	purpose	purpose
VBZ	be	is
TO	to	to
VB	seek	seek
TO	to	to
VB	deliver	deliver
JJ	rapid	rapid
NN	progress	progress
IN	in	in
VBG	bring	bringing
JJ	content	content
NN	online	online
IN	through	through
JJ	practical	practical
NN	industry	industry
VBD	lead	led
NNS	solution	solutions
NNS	tag	Tags
NN	copyright	copyright
NN	stakeholder	stakeholder
NN	dialogue	dialogue
VBP	contribute	Contribute
CC	and	and
VBP	debate	debate
NN	cross	Cross
NN	border	border
NN	access	access
CC	and	and
NN	portability	portability
IN	of	of
NNS	service	services
NN	user	User
VBD	generate	generated
NN	content	content
CC	and	and
NN	licensing	licensing
NNP	Audiovisual	Audiovisual
NN	sector	sector
CC	and	and
JJ	cultural	cultural
NN	heritage	heritage
NN	text	Text
CC	and	and
NNS	datum	data
NN	minig	minig
VB	check	Check
DT	the	the
NNS	participant	participants
IN	in	in
DT	the	the
VBG	work	working
NNS	group	groups
JJ	last	Last
VB	update	update
CD	21	21
CD	07	07
CD	2015	2015
NN	top	Top
