POS	lemma	word
VB	skip	Skip
TO	to	to
JJ	main	main
NN	content	content
NN	image	image
NN	home	Home
NN	image	image
NNP	Facebook	Facebook
NN	image	image
NN	blogger	Blogger
NN	image	image
NN	twitter	Twitter
NN	image	image
NNP	YouTube	YouTube
NN	image	image
NNS	rss	RSS
VBP	feed	Feed
NN	image	image
NNP	LinkedIn	LinkedIn
VB	contact	CONTACT
PRP	we	US
NN	university	UNIVERSITY
IN	of	OF
NNP	PENNSYLVANIA	PENNSYLVANIA
NNP	Linguistic	Linguistic
NNP	Data	Data
NN	consortium	Consortium
NN	search	Search
NN	form	form
NN	search	Search
PRP	you	You
VBP	be	are
RB	here	here
NN	home	Home
NNS	collaboration	Collaborations
JJ	past	Past
NNS	project	Projects
NN	ace	ACE
DT	the	The
NN	objective	objective
IN	of	of
DT	the	the
JJ	automatic	Automatic
NN	content	Content
NN	extraction	Extraction
NN	ace	ACE
NN	program	Program
VBD	be	was
TO	to	to
VB	develop	develop
NN	extraction	extraction
NN	technology	technology
TO	to	to
VB	support	support
JJ	automatic	automatic
NN	processing	processing
IN	of	of
NN	source	source
NN	language	language
NNS	datum	data
IN	in	in
DT	the	the
NN	form	form
IN	of	of
JJ	natural	natural
NN	text	text
CC	and	and
IN	as	as
NN	text	text
VBN	derive	derived
IN	from	from
NNP	ASR	ASR
CC	and	and
NNP	OCR	OCR
NNP	Automatic	Automatic
NNP	processing	processing
VBD	define	defined
IN	at	at
DT	that	that
NN	time	time
VBD	include	included
NN	classification	classification
VBG	filter	filtering
CC	and	and
NN	selection	selection
VBN	base	based
IN	on	on
DT	the	the
NN	language	language
NN	content	content
IN	of	of
DT	the	the
NN	source	source
NNS	datum	data
PRP	i	i
NN	e	e
VBN	base	based
IN	on	on
DT	the	the
NN	meaning	meaning
VBN	convey	conveyed
IN	by	by
DT	the	the
NNS	datum	data
RB	thus	Thus
DT	the	the
NN	ace	ACE
NN	program	program
VBD	require	required
DT	the	the
NN	development	development
IN	of	of
NNS	technology	technologies
WDT	that	that
RB	automatically	automatically
VB	detect	detect
CC	and	and
VB	characterize	characterize
DT	this	this
VBG	mean	meaning
DT	the	The
NN	ace	ACE
NN	research	research
NNS	objective	objectives
VBD	be	were
VBN	view	viewed
IN	as	as
DT	the	the
NN	detection	detection
CC	and	and
NN	characterization	characterization
IN	of	of
NNS	entity	Entities
NNS	relation	Relations
CC	and	and
NNS	event	Events
NNP	LDC	LDC
VBD	develop	developed
NN	annotation	annotation
NNS	guideline	guidelines
NNP	corpora	corpora
CC	and	and
JJ	other	other
JJ	linguistic	linguistic
NNS	resource	resources
TO	to	to
VB	support	support
DT	the	the
NN	ace	ACE
NN	program	Program
DT	some	Some
IN	of	of
DT	these	these
NNS	resource	resources
VBD	be	were
VBN	develop	developed
IN	in	in
NN	cooperation	cooperation
IN	with	with
DT	the	the
NNS	tide	TIDES
NN	program	Program
IN	in	in
NN	support	support
IN	of	of
NNS	tide	TIDES
NN	extraction	Extraction
NNS	evaluation	evaluations
NN	ace	ACE
NNS	annotator	annotators
VBD	tag	tagged
NN	broadcast	broadcast
NNS	transcript	transcripts
NNP	newswire	newswire
CC	and	and
NNP	newspaper	newspaper
NNP	data	data
IN	in	in
NNP	English	English
NNPS	Chinese	Chinese
CC	and	and
NNP	Arabic	Arabic
VBG	produce	producing
DT	both	both
NN	training	training
CC	and	and
NN	test	test
NNS	datum	data
IN	for	for
JJ	common	common
NN	research	research
NN	task	task
NNS	evaluation	evaluations
EX	there	There
VBD	be	were
CD	three	three
JJ	primary	primary
NN	ace	ACE
NN	annotation	annotation
NNS	task	tasks
VBG	correspond	corresponding
TO	to	to
DT	the	the
CD	three	three
NN	research	research
NNS	objective	objectives
NN	entity	Entity
NN	detection	Detection
CC	and	and
NN	tracking	Tracking
NNP	EDT	EDT
NN	relation	Relation
NN	detection	Detection
CC	and	and
NN	characterization	Characterization
NN	rdc	RDC
CC	and	and
NN	event	Event
NN	detection	Detection
CC	and	and
NN	characterization	Characterization
NN	edc	EDC
DT	a	A
JJ	fourth	fourth
NN	annotation	annotation
NN	task	task
NN	entity	Entity
VBG	link	Linking
NNP	LNK	LNK
VBD	group	grouped
DT	all	all
NNS	reference	references
TO	to	to
DT	a	a
JJ	single	single
NN	entity	entity
CC	and	and
DT	all	all
PRP$	its	its
NNS	property	properties
RB	together	together
IN	into	into
DT	a	a
JJ	composite	Composite
NN	entity	Entity
NN	entity	Entity
NN	detection	Detection
CC	and	and
NN	tracking	Tracking
NNP	EDT	EDT
VBD	be	was
DT	the	the
NN	core	core
NN	annotation	annotation
NN	task	task
VBG	provide	providing
DT	the	the
NN	foundation	foundation
IN	for	for
DT	all	all
VBG	remain	remaining
NNS	task	tasks
RB	later	Later
NN	ace	ACE
NNS	task	tasks
VBD	identify	identified
CD	seven	seven
NNS	type	types
IN	of	of
NNS	entity	entities
NN	person	Person
NN	organization	Organization
NN	location	Location
NN	facility	Facility
NN	weapon	Weapon
NN	vehicle	Vehicle
CC	and	and
NNP	Geo	Geo
JJ	political	Political
NN	entity	Entity
NNS	gpe	GPEs
DT	each	Each
NN	type	type
VBD	be	was
JJ	further	further
VBN	divide	divided
IN	into	into
NNS	subtype	subtypes
IN	for	for
NN	instance	instance
NN	organization	Organization
NNS	subtype	subtypes
VBP	include	include
NN	government	Government
JJ	commercial	Commercial
JJ	educational	Educational
JJ	non	Non
NN	profit	profit
JJ	other	Other
NNS	annotator	Annotators
VBD	tag	tagged
DT	all	all
VBZ	mention	mentions
IN	of	of
DT	each	each
NN	entity	entity
IN	within	within
DT	a	a
NN	document	document
IN	whether	whether
VBN	name	named
JJ	nominal	nominal
CC	or	or
JJ	pronominal	pronominal
IN	for	For
DT	every	every
NN	mention	mention
DT	the	the
NN	annotator	annotator
VBD	identify	identified
DT	the	the
JJ	maximal	maximal
NN	extent	extent
IN	of	of
DT	the	the
NN	string	string
WDT	that	that
VBZ	represent	represents
DT	the	the
NN	entity	entity
CC	and	and
VBN	label	labeled
DT	the	the
NN	head	head
IN	of	of
DT	each	each
NN	mention	mention
JJ	nested	Nested
VBZ	mention	mentions
VBD	be	were
RB	also	also
VBN	capture	captured
DT	each	Each
NN	entity	entity
VBD	be	was
VBN	classify	classified
VBG	accord	according
TO	to	to
PRP$	its	its
NN	type	type
CC	and	and
NN	subtype	subtype
CC	and	and
VBD	be	was
RB	further	further
VBN	tag	tagged
VBG	accord	according
TO	to	to
PRP$	its	its
NN	class	class
JJ	specific	specific
JJ	generic	generic
JJ	attributive	attributive
RB	negatively	negatively
VBN	quantify	quantified
CC	or	or
VBN	underspecify	underspecified
IN	during	During
DT	the	the
NNP	LNK	LNK
NN	annotation	annotation
NN	task	task
NNS	annotator	annotators
VBN	review	reviewed
DT	the	the
JJ	entire	entire
NN	document	document
IN	in	in
NN	order	order
TO	to	to
NN	group	group
VBZ	mention	mentions
IN	of	of
DT	the	the
JJ	same	same
NN	entity	entity
RB	together	together
PRP	they	they
RB	also	also
VBD	label	labeled
NNS	case	cases
IN	of	of
NN	metonymy	metonymy
WRB	where	where
DT	the	the
NN	name	name
IN	of	of
CD	one	one
NN	entity	entity
VBZ	be	is
VBN	use	used
TO	to	to
VB	refer	refer
TO	to	to
DT	another	another
NN	entity	entity
CC	or	or
NNS	entity	entities
VBN	relate	related
TO	to	to
PRP	it	it
NN	relation	Relation
NN	detection	Detection
CC	and	and
NN	characterization	Characterization
NN	rdc	RDC
VBD	involve	involved
DT	the	the
NN	identification	identification
IN	of	of
NNS	relation	relations
IN	between	between
NNS	entity	entities
DT	this	This
NN	task	task
VBD	be	was
VBN	add	added
IN	in	in
NN	phase	Phase
CD	2	2
IN	of	of
NN	ace	ACE
NN	rdc	RDC
VBN	target	targeted
JJ	physical	physical
NNS	relation	relations
VBG	include	including
JJ	located	Located
IN	near	Near
CC	and	and
NN	part	Part
JJ	whole	Whole
JJ	social	social
JJ	personal	personal
NNS	relation	relations
VBG	include	including
NN	business	Business
NN	family	Family
CC	and	and
JJ	other	Other
DT	a	a
NN	range	range
IN	of	of
NN	employment	employment
CC	or	or
NN	membership	membership
NNS	relation	relations
NNS	relation	relations
IN	between	between
NNS	artifact	artifacts
CC	and	and
NNS	agent	agents
VBG	include	including
NN	ownership	ownership
NN	affiliation	affiliation
NN	type	type
NNS	relation	relations
IN	like	like
NN	ethnicity	ethnicity
NNS	relationship	relationships
IN	between	between
NNS	person	persons
CC	and	and
NNS	gpe	GPEs
IN	like	like
NN	citizenship	citizenship
CC	and	and
RB	finally	finally
NN	discourse	discourse
NNS	relation	relations
IN	for	For
DT	every	every
NN	relation	relation
NNS	annotator	annotators
VBD	identify	identified
CD	two	two
JJ	primary	primary
NNS	argument	arguments
RB	namely	namely
DT	the	the
CD	two	two
NN	ace	ACE
NNS	entity	entities
WDT	that	that
VBP	be	are
VBN	link	linked
RB	as	as
RB	well	well
IN	as	as
DT	the	the
NN	relation	relation
NNS	s	s
JJ	temporal	temporal
NNS	attribute	attributes
NNS	relation	Relations
WDT	that	that
VBD	be	were
VBN	support	supported
IN	by	by
JJ	explicit	explicit
JJ	textual	textual
NN	evidence	evidence
VBD	be	were
VBN	distinguish	distinguished
IN	from	from
DT	those	those
WDT	that	that
VBD	depend	depended
IN	on	on
JJ	contextual	contextual
NN	inference	inference
IN	on	on
DT	the	the
NN	part	part
IN	of	of
DT	the	the
NN	reader	reader
NN	ace	ACE
NN	phase	Phase
CD	3	3
VBD	add	added
DT	a	a
JJ	new	new
NN	challenge	challenge
NN	event	Event
NN	detection	Detection
CC	and	and
NN	characterization	Characterization
NN	edc	EDC
IN	in	In
NNP	EDC	EDC
NNS	annotator	annotators
VBD	identify	identified
CC	and	and
VBD	characterize	characterized
CD	five	five
NNS	type	types
IN	of	of
NNS	event	events
IN	in	in
WDT	which	which
NNP	EDT	EDT
NNS	entity	entities
VBP	participate	participate
VBN	target	Targeted
NNS	type	types
VBD	include	included
NN	interaction	Interaction
NN	movement	Movement
NN	transfer	Transfer
NN	creation	Creation
CC	and	and
NN	destruction	Destruction
NNS	event	events
NNS	annotator	Annotators
