POS	lemma	word
NN	image	image
NN	text	Text
NN	mining	Mining
CC	and	and
NN	agriculture	Agriculture
NN	agronlp	AgroNLP
NNS	project	projects
JJ	natural	Natural
NN	language	Language
NN	processing	Processing
VBD	apply	applied
TO	to	to
JJ	agricultural	AGRicultural
NN	domain	dOmain
NN	contact	Contact
NN	image	image
NN	image	image
NN	umr	UMR
NN	tetis	TETIS
NN	agroparistech	AgroParisTech
NN	cirad	Cirad
NNS	cnr	Cnrs
NN	irstea	Irstea
CD	500	500
NN	rue	rue
NN	j	J
NN	f	F
NN	breton	Breton
CD	34093	34093
NNP	Montpellier	Montpellier
NNP	Cedex	Cedex
CD	5	5
NNP	France	France
NN	image	image
NN	image	image
NN	image	image
NN	lirmm	LIRMM
NNS	cnr	CNRS
NN	univ	Univ
NN	montpellier	Montpellier
CD	860	860
NNP	rue	rue
IN	de	de
NNP	St	St
NN	priest	Priest
CD	34095	34095
NNP	Montpellier	Montpellier
NNP	Cedex	Cedex
CD	5	5
NNP	France	France
NN	image	image
NN	image	image
NN	image	image
NN	animal	Animal
NN	disease	Disease
NN	surveillance	Surveillance
NN	image	image
DT	the	The
JJ	new	new
CC	and	and
JJ	exotic	exotic
JJ	infectious	infectious
NN	animal	animal
NNS	disease	diseases
VBP	be	are
DT	a	an
VBG	incise	incising
NN	threat	threat
TO	to	to
NNS	country	countries
JJ	due	due
TO	to	to
NN	globalisation	globalisation
NN	movement	movement
IN	of	of
NNS	passenger	passengers
CC	and	and
JJ	international	international
NN	trade	trade
RB	traditionally	Traditionally
NN	disease	disease
NNS	outbreak	outbreaks
VBP	be	are
VBN	report	reported
IN	through	through
VBN	structure	structured
JJ	multilevel	multilevel
NN	health	health
NN	infrastructure	infrastructure
WDT	that	that
MD	can	can
VB	lead	lead
TO	to	to
NNS	delay	delays
IN	in	in
NN	transmission	transmission
IN	of	of
NN	information	information
NN	food	Food
CC	and	and
JJ	agricultural	Agricultural
NN	organization	Organization
CD	2013	2013
PRP$	we	Our
NN	project	project
VBZ	propose	proposes
DT	a	a
JJ	new	new
NN	methodology	methodology
IN	in	in
DT	the	the
NN	domain	domain
IN	of	of
JJ	epidemic	epidemic
NN	intelligence	intelligence
IN	in	in
NN	animal	animal
NN	health	health
IN	in	in
NN	order	order
TO	to	to
VB	discover	discover
NN	knowledge	knowledge
IN	in	in
NN	web	web
NNS	document	documents
VBG	deal	dealing
IN	with	with
NN	animal	animal
NN	disease	disease
NNS	outbreak	outbreaks
TO	to	To
VB	address	address
DT	this	this
NN	issue	issue
PRP$	we	our
JJ	global	global
NN	process	process
VBZ	be	is
VBN	base	based
IN	on	on
NN	information	Information
NN	retrieval	Retrieval
NN	ir	IR
CC	and	and
NN	information	Information
NN	extraction	Extraction
FW	ie	IE
NNS	approach	approaches
VBP	see	see
NN	figure	figure
IN	below	below
NN	image	image
NN	staff	Staff
NNP	Elena	Elena
NNP	Arsevska	Arsevska
NNP	Cirad	Cirad
NNP	CMAEE	CMAEE
NNP	Renaud	Renaud
NNP	Lancelot	Lancelot
NNP	Cirad	Cirad
NNP	CMAEE	CMAEE
NNP	Thierry	Thierry
NNP	Lefran	Lefran
NNP	ois	ois
NNP	Cirad	Cirad
NNP	CMAEE	CMAEE
NNP	Sylvain	Sylvain
NNP	Falala	Falala
NNP	INRA	INRA
NNP	CMAEE	CMAEE
NNP	Mathieu	Mathieu
NNP	Roche	Roche
NNP	Cirad	Cirad
NNP	TETIS	TETIS
NNP	Pascal	Pascal
NNP	Hendrikx	Hendrikx
NNP	Anses	Anses
NNP	UCAS	UCAS
NNP	Barbara	Barbara
NNP	Dufour	Dufour
NNP	ENVA	ENVA
NN	web	Web
NN	page	page
NN	research	Research
VBZ	result	results
NNP	Cirad	Cirad
NNP	Publications	Publications
NNP	Elena	Elena
NNP	Arsevska	Arsevska
NNP	Mathieu	Mathieu
NNP	Roche	Roche
NNP	Pascal	Pascal
NNP	Hendrikx	Hendrikx
NNP	David	David
NNP	Chavernac	Chavernac
NNP	Sylvain	Sylvain
NNP	Falala	Falala
NNP	Renaud	Renaud
NNP	Lancelot	Lancelot
NNP	Barbara	Barbara
NNP	Dufour	Dufour
NN	identification	Identification
IN	of	of
NNS	term	terms
IN	for	for
VBG	detect	detecting
JJ	early	early
NNS	signal	signals
IN	of	of
VBG	emerge	emerging
JJ	infectious	infectious
NN	disease	disease
NNS	outbreak	outbreaks
IN	on	on
DT	the	the
NN	web	web
NNS	computer	Computers
CC	and	and
NNS	electronics	Electronics
IN	in	in
NN	agriculture	Agriculture
NNP	Elsevier	Elsevier
CD	123 104 115 2016	123 104 115 2016
NNP	Elena	Elena
NNP	Arsevska	Arsevska
NNP	Mathieu	Mathieu
NNP	Roche	Roche
NNP	Pascal	Pascal
NNP	Hendrikx	Hendrikx
NNP	David	David
NNP	Chavernac	Chavernac
NNP	Sylvain	Sylvain
NNP	Falala	Falala
NNP	Renaud	Renaud
NNP	Lancelot	Lancelot
NNP	Barbara	Barbara
NNP	Dufour	Dufour
NN	identification	Identification
IN	of	of
NNS	association	associations
IN	between	between
JJ	clinical	clinical
NNS	sign	signs
CC	and	and
NNS	host	hosts
TO	to	to
VB	monitor	monitor
DT	the	the
NN	web	web
IN	for	for
NN	detection	detection
IN	of	of
NN	animal	animal
NN	disease	disease
NNS	outbreak	outbreaks
JJ	international	International
NNP	Journal	Journal
IN	of	of
NNP	Agricultural	Agricultural
CC	and	and
NNP	Environmental	Environmental
NNP	Information	Information
NNP	Systems	Systems
NNP	IGI	IGI
CD	7	7
CD	3	3
CD	1	1
CD	10	10
CD	2016	2016
NN	terminology	Terminology
NN	extraction	Extraction
IN	for	for
NN	document	Document
NN	matching	Matching
CC	and	and
JJ	open	Open
NNS	datum	Data
IN	in	in
JJ	agrictural	Agrictural
NN	domain	Domain
NN	image	image
IN	in	In
DT	the	the
NN	context	context
IN	of	of
JJ	large	large
NNS	amount	amounts
IN	of	of
NNP	textual	textual
NNP	data	data
JJ	related	related
TO	to	to
NN	agriculture	agriculture
RB	now	now
JJ	available	available
NN	indexing	indexing
VBZ	become	becomes
DT	a	a
JJ	crucial	crucial
NN	issue	issue
IN	for	for
NN	research	research
NNS	organization	organizations
CD	one	One
NN	way	way
TO	to	to
NN	index	index
NNS	document	documents
VBZ	consist	consists
IN	of	of
VBG	extract	extracting
NN	terminology	terminology
PRP$	we	Our
NN	project	project
VBZ	investigate	investigates
DT	the	the
NN	use	use
CC	and	and
NN	combination	combination
IN	of	of
NN	text	Text
NN	mining	Mining
NNS	methodology	methodologies
TO	to	to
VB	highlight	highlight
CC	and	and
VB	publish	publish
IN	in	in
JJ	open	Open
NNS	datum	Data
NNS	system	systems
DT	the	the
RBS	most	most
JJ	appropriate	appropriate
NNS	term	terms
VBN	extract	extracted
IN	with	with
NN	biotex	BioTex
IN	in	in
JJ	french	French
CC	and	and
IN	in	in
NNP	English	English
RB	moreover	Moreover
DT	these	these
NNS	term	terms
VBP	be	are
VBN	use	used
TO	to	to
VB	match	match
JJ	heterogeneous	heterogeneous
NNS	datum	data
IN	of	of
JJ	agricultural	agricultural
NN	domain	domain
NN	staff	Staff
NNP	Mathieu	Mathieu
NNP	Roche	Roche
NNP	Cirad	Cirad
NNP	TETIS	TETIS
NNP	Jacques	Jacques
NNP	Fize	Fize
NNP	TETIS	TETIS
NNP	Sophie	Sophie
NNP	Fortuno	Fortuno
NNP	Cirad	Cirad
NNP	TETIS	TETIS
NNP	Juan	Juan
NNP	Antonio	Antonio
NNP	Lossio	Lossio
NNP	Ventura	Ventura
NNP	LIRMM	LIRMM
NNP	Maguelonne	Maguelonne
NNP	Teisseire	Teisseire
NNP	Irstea	Irstea
NNP	TETIS	TETIS
NNP	Clement	Clement
NNP	Jonquet	Jonquet
NNP	UM	UM
NNP	LIRMM	LIRMM
NNP	Publications	Publications
NNP	Juan	Juan
NNP	Antonio	Antonio
NNP	Lossio	Lossio
NNP	Ventura	Ventura
NNP	Clement	Clement
NNP	Jonquet	Jonquet
NNP	Mathieu	Mathieu
NNP	Roche	Roche
NNP	Maguelonne	Maguelonne
NNP	Teisseire	Teisseire
JJ	biomedical	Biomedical
NN	term	term
NN	extraction	extraction
NN	overview	overview
CC	and	and
DT	a	a
JJ	new	new
NN	methodology	methodology
NN	information	Information
NN	retrieval	Retrieval
NNP	Journal	Journal
JJ	special	Special
NN	issue	Issue
JJ	medical	Medical
NN	information	Information
NN	retrieval	Retrieval
NNP	Springer	Springer
NN	volume	Volume
CD	19	19
NN	issue	Issue
CD	1	1
NN	p	p
CD	59	59
CD	99	99
CD	2016	2016
NNP	Mathieu	Mathieu
NNP	Roche	Roche
NNP	Sophie	Sophie
NNP	Fortuno	Fortuno
NNP	Juan	Juan
NNP	Antonio	Antonio
NNP	Lossio	Lossio
NNP	Ventura	Ventura
NNP	Amira	Amira
NNP	Akli	Akli
NNP	Salim	Salim
NNP	Belkebir	Belkebir
NNP	Thinhinan	Thinhinan
NNP	Lounis	Lounis
NNP	Serigne	Serigne
NNP	Toure	Toure
NN	extraction	Extraction
NN	automatique	automatique
NNP	des	des
FW	mots	mots
NN	cl	cl
NNS	s	s
NNP	partir	partir
NNP	de	de
NNP	publications	publications
NNP	scientifiques	scientifiques
VBP	pour	pour
NN	l	l
NN	indexation	indexation
FW	et	et
NN	l	l
NN	ouverture	ouverture
NNP	des	des
NNP	donn	donn
NN	es	es
IN	en	en
NN	agronomie	agronomie
NNS	cahier	Cahiers
VBZ	agriculture	Agricultures
NN	volume	Volume
CD	24	24
NN	num	num
NN	ro	ro
CD	5	5
NN	p	p
CD	313 320 2015	313 320 2015
NNP	Mathieu	Mathieu
NNP	Roche	Roche
NNP	Sophie	Sophie
NNP	Fortuno	Fortuno
NNP	La	La
NNP	fouille	fouille
IN	de	de
NNP	texte	texte
NN	au	au
NN	service	service
FW	de	de
FW	la	la
NN	documentation	documentation
NNS	arabesque	Arabesques
CD	76	76
NN	p	p
CD	13	13
CD	14	14
CD	2014	2014
NN	information	Information
NN	extraction	Extraction
IN	from	from
JJ	experimental	Experimental
NNS	datum	Data
IN	of	of
JJ	agricultural	Agricultural
NN	domain	Domain
NN	image	image
PRP$	we	Our
NN	work	work
NNS	deal	deals
IN	with	with
NN	knowledge	knowledge
NN	engineering	engineering
NNS	issue	issues
IN	of	of
JJ	experimental	experimental
NNS	datum	data
VBN	extract	extracted
IN	from	from
JJ	scientific	scientific
NNS	article	articles
IN	in	in
NN	order	order
TO	to	to
VB	reuse	reuse
PRP	they	them
IN	in	in
NN	decision	decision
NN	support	support
NNS	system	systems
JJ	experimental	Experimental
NNS	datum	data
MD	can	can
VB	be	be
VBN	represent	represented
IN	by	by
NN	n	n
NN	ary	ary
NNS	relation	relations
WDT	which	which
VBP	link	link
DT	a	a
VBN	study	studied
NN	object	object
NN	e	e
NN	g	g
NN	food	food
NN	packaging	packaging
NN	transformation	transformation
NN	process	process
IN	with	with
PRP$	its	its
NNS	feature	features
NN	e	e
NN	g	g
NN	oxygen	oxygen
NN	permeability	permeability
IN	in	in
NN	packaging	packaging
NN	biomass	biomass
VBG	grind	grinding
CC	and	and
VBN	capitalize	capitalized
IN	in	in
DT	a	an
JJ	ontological	Ontological
CC	and	and
JJ	terminological	Terminological
NN	ressource	Ressource
NN	otr	OTR
DT	a	An
NNP	OTR	OTR
NNPS	associates	associates
DT	a	an
NN	ontology	ontology
IN	with	with
DT	a	a
JJ	terminological	terminological
CC	and	and
CC	or	or
DT	a	a
JJ	linguistic	linguistic
NN	part	part
IN	in	in
NN	order	order
TO	to	to
VB	establish	establish
DT	a	a
JJ	clear	clear
NN	distinction	distinction
IN	between	between
DT	the	the
NN	term	term
CC	and	and
DT	the	the
NN	notion	notion
PRP	it	it
VBZ	denote	denotes
DT	the	the
NN	concept	concept
PRP$	we	Our
NN	work	work
VBZ	focus	focuses
IN	on	on
NN	n	n
