POS	lemma	word
NN	text	text
NN	mining	mining
NN	q676880	Q676880
IN	from	From
NNP	Wikidata	Wikidata
NN	jump	Jump
TO	to	to
NNP	navigation	navigation
VB	search	search
NN	text	text
NNS	datum	data
NN	mining	mining
RB	roughly	roughly
JJ	equivalent	equivalent
TO	to	to
VB	text	text
NNS	analytic	analytics
VB	text	text
NNS	datum	data
VBG	mine	mining
NN	textmining	textmining
NN	text	text
NN	mining	mining
VB	edit	edit
NN	language	Language
NN	label	Label
NN	description	Description
RB	also	Also
VBN	know	known
IN	as	as
JJ	english	English
NN	text	text
NN	mining	mining
NN	text	text
NNS	datum	data
NN	mining	mining
RB	roughly	roughly
JJ	equivalent	equivalent
TO	to	to
VB	text	text
NNS	analytic	analytics
VB	text	text
NNS	datum	data
VBG	mine	mining
NN	textmining	textmining
NN	text	text
NN	mining	mining
NNS	statement	Statements
NN	subclass	subclass
IN	of	of
NNS	datum	data
NN	mining	mining
CD	0	0
NNS	reference	references
NN	image	image
NN	image	image
NN	tripletsnew2012	Tripletsnew2012
NNP	png	png
NNP	Tripletsnew2012	Tripletsnew2012
NN	png538	png538
CD	574	574
CD	387	387
NN	kb	KB
CD	0	0
NNS	reference	references
VBP	use	use
NN	science	science
CD	1	1
NN	reference	reference
VBN	import	imported
IN	from	from
NNP	English	English
NNP	Wikipedia	Wikipedia
NNP	Commons	Commons
NN	category	category
NN	text	Text
NN	mining	mining
CD	0	0
NNS	reference	references
NN	topic	topic
NNS	s	s
JJ	main	main
NN	category	category
NN	category	Category
NN	text	Text
NN	mining	mining
CD	1	1
NN	reference	reference
VBN	import	imported
IN	from	from
NNP	English	English
NNP	Wikipedia	Wikipedia
VB	stack	Stack
NN	exchange	Exchange
NN	tag	tag
VBZ	http	https
NN	stackoverflow	stackoverflow
NN	com	com
NNS	tag	tags
NN	text	text
NN	mining	mining
CD	0	0
NNS	reference	references
NNS	identifier	Identifiers
NNP	NDL	NDL
NNP	Auth	Auth
NN	id	ID
CD	01119322	01119322
CD	0	0
NNS	reference	references
NN	freebase	Freebase
NN	id	ID
NN	m	m
NN	01v59d	01v59d
CD	1	1
NN	reference	reference
VBN	state	stated
IN	in	in
NNP	Freebase	Freebase
NNP	Data	Data
VBZ	dump	Dumps
NN	publication	publication
NN	date	date
CD	28	28
NNP	October	October
CD	2013	2013
NNP	Quora	Quora
NN	topic	topic
NN	id	ID
NN	text	Text
NN	mining	Mining
CD	1	1
NN	reference	reference
VBN	import	imported
IN	from	from
NNP	Quora	Quora
NNP	JSTOR	JSTOR
NN	topic	topic
NN	id	ID
NN	text	text
NNS	analytic	analytics
CD	0	0
NNS	reference	references
NN	babelnet	BabelNet
NN	id	ID
NN	02540773n	02540773n
CD	1	1
NN	reference	reference
VBN	import	imported
IN	from	from
NN	babelnet	BabelNet
NN	elhuyar	Elhuyar
NN	zth	ZTH
NN	id	ID
CD	139385	139385
CD	0	0
NNS	reference	references
NNP	Sitelinks	Sitelinks
NNP	Wikipedia	Wikipedia
CD	23	23
NNS	entry	entries
VB	edit	edit
FW	arwiki	arwiki
FW	bgwiki	bgwiki
FW	cswiki	cswiki
FW	dolov	Dolov
NN	n	n
NN	z	z
NN	textu	textu
NN	dewiki	dewiki
NN	text	Text
NN	mining	Mining
NN	enwiki	enwiki
NN	text	Text
NN	mining	mining
NN	eswiki	eswiki
NNP	Miner	Miner
NNP	a	a
NNP	de	de
NNP	textos	textos
NNP	euwiki	euwiki
NNP	Testu	Testu
NNP	meatzaritza	meatzaritza
NNP	fawiki	fawiki
NNP	frwiki	frwiki
NNP	Fouille	Fouille
IN	de	de
NNP	textes	textes
NNP	huwiki	huwiki
NNP	Sz	Sz
NNP	vegb	vegb
NNP	ny	ny
NNP	szat	szat
NNP	idwiki	idwiki
NNP	Penambangan	Penambangan
NNP	teks	teks
NNP	jawiki	jawiki
NNP	nlwiki	nlwiki
NN	textmining	Textmining
NN	plwiki	plwiki
NN	text	Text
NN	mining	mining
NNP	ptwiki	ptwiki
NNP	Minera	Minera
NN	o	o
IN	de	de
NNP	texto	texto
NNP	ruwiki	ruwiki
NNP	slwiki	slwiki
NNP	Rudarjenje	Rudarjenje
NNP	besedil	besedil
NNP	svwiki	svwiki
VB	text	Text
NN	mining	mining
NN	thwiki	thwiki
NN	trwiki	trwiki
NN	metin	Metin
NNS	madencilus	madencili
PRP	i	i
VBP	ukwiki	ukwiki
NNP	viwiki	viwiki
NNP	Khai	Khai
NN	th	th
NN	c	c
NN	v	v
NN	n	n
NN	b	b
NN	n	n
NN	zhwiki	zhwiki
NN	wikibooks	Wikibooks
CD	0	0
NNS	entry	entries
VB	edit	edit
NNP	Wikinews	Wikinews
CD	0	0
NNS	entry	entries
VBP	edit	edit
NNP	Wikiquote	Wikiquote
CD	0	0
NNS	entry	entries
VBP	edit	edit
NN	wikisource	Wikisource
CD	0	0
NNS	entry	entries
VBP	edit	edit
NN	wikiversity	Wikiversity
CD	0	0
NNS	entry	entries
VBP	edit	edit
NN	wikivoyage	Wikivoyage
CD	0	0
NNS	entry	entries
VBP	edit	edit
JJ	wiktionary	Wiktionary
CD	0	0
NNS	entry	entries
VB	edit	edit
JJ	other	Other
NNS	site	sites
CD	1	1
NN	entry	entry
NN	edit	edit
NN	commonswiki	commonswiki
NN	category	Category
NN	text	Text
NN	mining	mining
NN	image	image
VBN	retrieve	Retrieved
IN	from	from
NNP	https	https
NNP	www	www
NNP	wikidata	wikidata
NNP	org	org
NNP	w	w
NNP	index	index
NNP	php	php
NNP	title	title
NNP	Q676880	Q676880
NN	amp	amp
NN	oldid	oldid
CD	674737108	674737108
NNP	Navigation	Navigation
NN	menu	menu
JJ	personal	Personal
NNS	tool	tools
JJ	english	English
RB	not	Not
VBN	log	logged
IN	in	in
NN	talk	Talk
NNS	contribution	Contributions
VBP	create	Create
NN	account	account
NN	log	Log
IN	in	in
NNS	namespace	Namespaces
NN	item	Item
NN	discussion	Discussion
NNS	variant	Variants
NNS	view	Views
VBP	read	Read
NN	view	View
NN	history	history
JJR	more	More
NN	search	Search
NN	navigation	Navigation
JJ	main	Main
NN	page	page
NN	community	Community
NN	portal	portal
NN	project	Project
NN	chat	chat
VB	create	Create
DT	a	a
JJ	new	new
NN	item	item
JJ	recent	Recent
NNS	change	changes
JJ	random	Random
NN	item	item
NN	query	Query
NN	service	Service
JJ	nearby	Nearby
NN	help	Help
VB	donate	Donate
NN	print	Print
NN	export	export
NN	download	Download
IN	as	as
NN	pdf	PDF
NNS	tool	Tools
WDT	what	What
NNS	link	links
RB	here	here
JJ	related	Related
NNS	change	changes
JJ	special	Special
NNS	page	pages
JJ	permanent	Permanent
NN	link	link
NN	page	Page
NN	information	information
NN	concept	Concept
NNP	URI	URI
VB	cite	Cite
DT	this	this
NN	page	page
DT	this	This
NN	page	page
VBD	be	was
JJ	last	last
VBN	edit	edited
IN	on	on
CD	5	5
MD	may	May
CD	2018	2018
IN	at	at
CD	21	21
CD	14	14
DT	all	All
VBN	structure	structured
NNS	datum	data
IN	from	from
DT	the	the
JJ	main	main
CC	and	and
NN	property	property
NN	namespace	namespace
VBZ	be	is
JJ	available	available
IN	under	under
DT	the	the
JJ	creative	Creative
NNP	Commons	Commons
NN	cc0	CC0
NN	license	License
NN	text	text
IN	in	in
DT	the	the
JJ	other	other
NNS	namespace	namespaces
VBZ	be	is
JJ	available	available
IN	under	under
DT	the	the
JJ	creative	Creative
NNP	Commons	Commons
NN	attribution	Attribution
JJ	sharealike	ShareAlike
NN	license	License
JJ	additional	additional
NNS	term	terms
MD	may	may
VB	apply	apply
IN	by	By
VBG	use	using
DT	this	this
NN	site	site
PRP	you	you
VBP	agree	agree
TO	to	to
DT	the	the
NNS	term	Terms
IN	of	of
NN	use	Use
CC	and	and
NN	privacy	Privacy
NN	policy	Policy
NN	privacy	Privacy
NN	policy	policy
IN	about	About
JJ	wikidata	Wikidata
NNS	disclaimer	Disclaimers
NNS	developer	Developers
NN	cookie	Cookie
NN	statement	statement
JJ	mobile	Mobile
NN	view	view
NNS	datum	Data
NN	access	access
NN	image	image
NN	wikimedia	Wikimedia
NN	foundation	Foundation
NN	image	image
VBN	power	Powered
IN	by	by
NNP	MediaWiki	MediaWiki
